  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    7670,    19716,    13568,        0,    13069,    18123,   131053
    7690,    19769,    13568,        0,    13069,    18123,       34
    7710,    19822,    13568,        0,    12927,    18224,   130996
    7730,    19875,    13568,        0,    12927,    18224,   131049
    7750,    19928,    13568,        0,    12927,    18224,       30
    7770,    19981,    13568,        0,    12784,    18325,   130992
    7790,    20034,    13568,        0,    12784,    18325,   131045
    7810,    20087,    13568,        0,    12784,    18325,       26
    7830,    20140,    13568,        0,    12784,    18325,       79
    7850,    20193,    13568,        0,    12640,    18424,   131041
    7870,    20246,    13568,        0,    12640,    18424,       22
    7890,    20299,    13568,        0,    12640,    18424,       75
    7910,    20352,    13568,        0,    12496,    18522,   131037
    7930,    20405,    13568,        0,    12496,    18522,       18
    7950,    20458,    13568,        0,    12496,    18522,       71
    7970,    20511,    13568,        0,    12351,    18619,   131033
    7990,    20564,    13568,        0,    12351,    18619,       14
    8010,    20617,    13568,        0,    12351,    18619,       67
    8030,    20670,    13568,        0,    12205,    18715,   131029
    8050,    20723,    13568,        0,    12205,    18715,       10
    8070,    20776,    13568,        0,    12205,    18715,       63
    8090,    20829,    13568,        0,    12059,    18810,   131025
    8110,    20882,    13568,        0,    12059,    18810,        6
    8130,    20935,    13568,        0,    12059,    18810,       59
    8150,    20988,    13568,        0,    11932,    18890,   131044
    8170,    21041,    13568,        0,    11932,    18890,       25
    8190,    21094,    13568,        0,    11932,    18890,       78
    8210,    21147,    13568,        0,    11784,    18983,   131040
    8230,    21200,    13568,        0,    11784,    18983,       21
    8250,    21253,    13568,        0,    11784,    18983,       74
    8270,    21306,    13568,        0,    11636,    19074,   131036
    8290,    21359,    13568,        0,    11636,    19074,       17
    8310,    21412,    13568,        0,    11636,    19074,       70
    8330,    21465,    13568,        0,    11486,    19165,   131033
    8350,    21518,    13568,        0,    11486,    19165,       14
    8370,    21571,    13568,        0,    11486,    19165,       67
    8390,    21624,    13568,        0,    11336,    19254,   131029
    8410,    21677,    13568,        0,    11336,    19254,       10
    8430,    21730,    13568,        0,    11336,    19254,       63
    8450,    21783,    13568,        0,    11185,    19342,   131025
    8470,    21836,    13568,        0,    11185,    19342,        6
    8490,    21889,    13568,        0,    11185,    19342,       59
    8510,    21942,    13568,        0,    11034,    19429,   131021
    8530,    21995,    13568,        0,    11034,    19429,        2
    8550,    22048,    13568,        0,    11034,    19429,       55
    8570,    22101,    13568,        0,    10882,    19514,   131017
    8590,    22154,    13568,        0,    10882,    19514,   131070
    8610,    22207,    13568,        0,    10882,    19514,       51
    8630,    22260,    13568,        0,    10729,    19598,   131013
    8650,    22313,    13568,        0,    10729,    19598,   131066
    8670,    22366,    13568,        0,    10729,    19598,       47
    8690,    22419,    13568,        0,    10576,    19682,   131009
    8710,    22472,    13568,        0,    10576,    19682,   131062
    8730,    22525,    13568,        0,    10576,    19682,       43
    8750,    22578,    13568,        0,    10422,    19764,   131005
    8770,    22631,    13568,        0,    10422,    19764,   131058
    8790,    22684,    13568,        0,    10422,    19764,       39
    8810,    22737,    13568,        0,    10267,    19844,   131001
    8830,    22790,    13568,        0,    10267,    19844,   131054
    8850,    22843,    13568,        0,    10267,    19844,       35
    8870,    22896,    13568,        0,    10112,    19924,   130997
    8890,    22949,    13568,        0,    10112,    19924,   131050
    8910,    23002,    13568,        0,    10112,    19924,       31
    8930,    23055,    13568,        0,     9956,    20002,   130993
    8950,    23108,    13568,        0,     9956,    20002,   131046
    8970,    23161,    13568,        0,     9956,    20002,       27
    8990,    23214,    13568,        0,     9956,    20002,       80
    9010,    23267,    13568,        0,     9799,    20080,   131042
    9030,    23320,    13568,        0,     9799,    20080,       23
    9050,    23373,    13568,        0,     9799,    20080,       76
    9070,    23426,    13568,        0,     9642,    20156,   131038
    9090,    23479,    13568,        0,     9642,    20156,       19
    9110,    23532,    13568,        0,     9642,    20156,       72
    9130,    23585,    13568,        0,     9487,    20229,   131037
    9150,    23638,    13568,        0,     9487,    20229,       18
    9170,    23691,    13568,        0,     9487,    20229,       71
    9190,    23744,    13568,        0,     9329,    20302,   131033
    9210,    23797,    13568,        0,     9329,    20302,       14
    9230,    23850,    13568,        0,     9329,    20302,       67
