  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout,mag_in,mag_out,Ratio,Error
5570,13621,54272,0,88185,14525,0,54272,89373.2054365289,1.64676454592661,-0.00000454592661
5590,13674,54272,0,88176,14580,0,54272,89373.2811079464,1.64676594022602,-0.00000594022602
5610,13727,54272,0,88166,14637,0,54272,89372.7325586501,1.64675583281711,0.00000416718289
5630,13780,54272,0,88157,14693,0,54272,89373.0434638991,1.6467615614663,-0.0000015614663
5650,13833,54272,0,88148,14748,0,54272,89373.2253418215,1.64676491269571,-0.00000491269571
5670,13886,54272,0,88138,14804,0,54272,89372.6214228944,1.64675378506218,0.00000621493782
5690,13939,54272,0,88129,14860,0,54272,89373.0397882941,1.64676149374068,-0.00000149374068
5710,13992,54272,0,88120,14916,0,54272,89373.4941467547,1.6467698656168,-0.0000098656168
5730,14045,54272,0,88110,14972,0,54272,89372.9986293399,1.64676073535783,-0.00000073535783
5750,14098,54272,0,88101,15028,0,54272,89373.5250787391,1.64677043556049,-0.00001043556049
5770,14151,54272,0,88091,15084,0,54272,89373.1018651585,1.64676263755083,-0.00000263755083
5790,14204,54272,0,88081,15140,0,54272,89372.7148575,1.64675550666089,0.00000449333911
5810,14257,54272,0,88072,15196,0,54272,89373.3494952494,1.64676720031046,-0.00000720031046
5830,14310,54272,0,88062,15252,0,54272,89373.0347923802,1.64676140168743,-0.00000140168743
5850,14363,54272,0,88052,15308,0,54272,89372.7562963121,1.64675627020033,0.00000372979967
5870,14416,54272,0,88043,15364,0,54272,89373.499120265,1.64676995725724,-0.00000995725724
5890,14469,54272,0,88033,15420,0,54272,89373.2929291519,1.64676615804009,-0.00000615804009
5910,14522,54272,0,88023,15475,0,54272,89372.9497890721,1.64675983544133,0.00000016455867
5930,14575,54272,0,88013,15532,0,54272,89372.9891689877,1.64676056104414,-0.00000056104414
5950,14628,54272,0,88003,15587,0,54272,89372.7171904267,1.64675554964672,0.00000445035328
5970,14681,54272,0,87993,15643,0,54272,89372.655202808,1.64675440748098,0.00000559251902
5990,14734,54272,0,87983,15699,0,54272,89372.6294231069,1.64675393247175,0.00000606752825
6010,14787,54272,0,87973,15755,0,54272,89372.639851355,1.6467541246196,0.0000058753804
6030,14840,54272,0,87963,15811,0,54272,89372.6864875394,1.6467549839243,0.0000050160757
6050,14893,54272,0,87953,15867,0,54272,89372.7693316035,1.64675651038479,0.00000348961521
6070,14946,54272,0,87943,15923,0,54272,89372.8883834466,1.64675870399924,0.00000129600076
6090,14999,54272,0,87933,15979,0,54272,89373.043642924,1.64676156476496,-0.00000156476496
